,PROPERTY TYPE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,shortesttime,BEDS,BATHS,medianhouseholdincome,averagehouseholdincome,percapitaincome,highincomehouseholds,walk,price/psf,differential
130,Condo/Co-op,338 Main St Unit 28C,San Francisco,94105,3100000,1496,,2016,5,2.0,2.0,213009,255071,138902,52.5%,88,2072.192513368984,1534458.2353845458
131,Condo/Co-op,201 Folsom St Unit 35D,San Francisco,94105,1728000,972,,2016,5,1.0,1.0,213009,255071,138902,52.5%,88,1777.7777777777778,592723.4693348126
132,Condo/Co-op,338 Main St Unit 28E,San Francisco,94105,3395000,1791,,2016,5,3.0,3.0,213009,255071,138902,52.5%,88,1895.5890563930766,1606765.8647853152
133,Condo/Co-op,201 Folsom St Unit 25A,San Francisco,94105,2199000,1368,,2016,5,2.0,2.0,213009,255071,138902,52.5%,88,1607.4561403508771,749481.4952488807
134,Condo/Co-op,301 Mission St Unit 54C,San Francisco,94105,4995000,2819,,2009,5,2.0,3.5,213009,255071,138902,52.5%,88,1771.9049308265342,2053374.155482118
135,Condo/Co-op,338 Main St Unit 35E,San Francisco,94105,3690000,1791,,2016,5,3.0,3.0,213009,255071,138902,52.5%,88,2060.3015075376884,1901765.8647853152
136,Condo/Co-op,403 Main St #712,San Francisco,94105,1188000,1094,,1997,5,2.0,2.0,213009,255071,138902,52.5%,88,1085.9232175502743,-9526.327052681008
137,Condo/Co-op,401 Harrison St Unit 20E,San Francisco,94105,1995000,1241,,2014,5,2.0,2.0,213009,255071,138902,52.5%,88,1607.5745366639806,660980.4167693511
138,Condo/Co-op,401 Harrison St Unit 28E,San Francisco,94105,2588000,1241,,2014,5,2.0,2.0,213009,255071,138902,52.5%,88,2085.4149879129736,1253980.416769351
139,Condo/Co-op,280 Spear St Unit 9C,San Francisco,94105,1645000,1316,,2019,5,2.0,2.0,213009,255071,138902,52.5%,88,1250.0,242042.80450802762
140,Condo/Co-op,181 Fremont Unit 69B,San Francisco,94105,15000000,3199,,2018,5,2.0,2.5,213009,255071,138902,52.5%,88,4688.965301656768,11831018.845382188
141,Condo/Co-op,338 Main St Unit 16A,San Francisco,94105,2095000,1379,,2016,5,2.0,2.0,213009,255071,138902,52.5%,88,1519.2168237853516,635510.7463542894
142,Condo/Co-op,401 Harrison St Unit 39F,San Francisco,94105,1600000,830,,2014,5,1.0,1.0,213009,255071,138902,52.5%,88,1927.710843373494,593818.8666206353
143,Condo/Co-op,338 Main St Unit 14C,San Francisco,94105,2800000,1403,,2016,5,2.0,2.0,213009,255071,138902,52.5%,88,1995.7234497505347,1318756.3851297265
144,Condo/Co-op,333 Beale St Unit 8I,San Francisco,94105,1399000,988,,2015,5,1.0,2.0,213009,255071,138902,52.5%,88,1415.991902834008,130603.4457341542
145,Single Family Residential,1914 34th Ave,San Francisco,94116,1088000,800,2996.0,1942,36,4.0,2.0,107619,155816,55140,24.6%,78,1360.0,1029063.912062485
146,Single Family Residential,2463 34th Ave,San Francisco,94116,1150000,1095,3000.0,1922,36,2.0,1.0,107619,155816,55140,24.6%,78,1050.2283105022832,619269.354038923
147,Single Family Residential,2039 47th Ave,San Francisco,94116,1195000,1457,2996.0,1955,36,3.0,2.0,107619,155816,55140,24.6%,78,820.1784488675361,374541.5176863265
148,Single Family Residential,2366 20th Ave,San Francisco,94116,1295000,2205,2996.0,1926,36,3.0,2.5,107619,155816,55140,24.6%,78,587.3015873015873,-257333.13462766865
149,Single Family Residential,46 Cragmont Ave,San Francisco,94116,1728000,2071,3990.0,1940,36,3.0,3.5,107619,155816,55140,24.6%,78,834.379526798648,175645.89912149543
150,Single Family Residential,1938 35th Ave,San Francisco,94116,895000,800,3000.0,1943,36,2.0,1.0,107619,155816,55140,24.6%,78,1118.75,627654.7303323348
151,Condo/Co-op,3535 Wawona St #315,San Francisco,94116,1166100,1011,,2019,36,2.0,2.0,107619,155816,55140,24.6%,78,1153.4124629080118,574169.9268898042
152,Condo/Co-op,3535 Wawona St #333,San Francisco,94116,835363,758,,2019,36,1.0,1.0,107619,155816,55140,24.6%,78,1102.0620052770448,428055.16534604994
153,Single Family Residential,2006 24th Ave,San Francisco,94116,1099000,977,1437.0,1943,36,3.0,1.0,107619,155816,55140,24.6%,78,1124.8720573183214,834729.4652250676
154,Condo/Co-op,1561 Sacramento St,San Francisco,94109,1895000,1840,,1910,21,3.0,2.5,88593,134441,80359,20.6%,98,1029.891304347826,417910.48843936785
