SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2075 Quesada Ave,SAN FRANCISCO,CA,94124,860000,4,2.0,SAN FRANCISCO,1737,2495,1907,6,495,,Active,,,http://www.redfin.com/CA/San-Francisco/2075-Quesada-Ave-94124/home/1231834,MLSListings,ML81779358,N,Y,37.737195,-122.398787
MLS Listing,,Single Family Residential,155 San Leandro Way,San Francisco,CA,94127,3295000,5,3.0,St. Francis Wood,3312,4996,1925,6,995,,Active,January-26-2020 02:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/155-San-Leandro-Way-94127/home/1806228,San Francisco MLS,493676,N,Y,37.733908,-122.4684622
MLS Listing,,Multi-Family (2-4 Unit),1919 Oakdale Ave,San Francisco,CA,94124,655000,4,2.0,Bayview,1750,2495,1900,6,374,,Active,,,http://www.redfin.com/CA/San-Francisco/1919-Oakdale-Ave-94124/home/1193308,San Francisco MLS,493789,N,Y,37.7380072,-122.3967264
MLS Listing,,Condo/Co-op,177 Townsend St #635,San Francisco,CA,94107,1225000,2,2.0,South Beach,,,2007,6,,740,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/177-Townsend-St-94107/unit-635/home/17306080,San Francisco MLS,493754,N,Y,37.7789817,-122.3917515
MLS Listing,,Condo/Co-op,425 24th Ave,San Francisco,CA,94121,2450000,4,4.0,Central Richmond,2303,,,6,1064,250,Active,January-26-2020 02:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/425-24th-Ave-94121/home/170324640,San Francisco MLS,493782,N,Y,37.7815386,-122.4840018
MLS Listing,,Condo/Co-op,945 Green St #10,San Francisco,CA,94133,12500000,5,5.5,Russian Hill,3880,,1928,6,3222,5914,Active,,,http://www.redfin.com/CA/San-Francisco/945-Green-St-94133/unit-10/home/12399733,San Francisco MLS,492485,N,Y,37.7983984,-122.4143174
MLS Listing,,Condo/Co-op,253 Collingwood St Unit B,San Francisco,CA,94141,2995000,3,2.0,Eureka Valley/Dolore,2605,,1906,6,1150,,Active,,,http://www.redfin.com/CA/San-Francisco/253-Collingwood-St-94114/unit-B/home/170331185,San Francisco MLS,493645,N,Y,37.7583587,-122.4356304
MLS Listing,,Multi-Family (2-4 Unit),879-881 39th Ave,San Francisco,CA,94121,2380000,7,4.0,Outer Richmond,3912,3600,1994,6,608,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/879-39th-Ave-94121/home/1732835,San Francisco MLS,493759,N,Y,37.772301,-122.499546
MLS Listing,,Condo/Co-op,2828 21st St,San Francisco,CA,94110,1750000,2,2.5,Inner Mission,,,,6,,175,Active,January-23-2020 05:30 PM,January-23-2020 07:00 PM,http://www.redfin.com/CA/San-Francisco/2828-21st-St-94110/home/167121487,San Francisco MLS,493653,N,Y,37.7576014,-122.411071
MLS Listing,,Single Family Residential,1043 Hollister Ave,San Francisco,CA,94124,749000,2,1.0,Bayview,,2500,1908,6,,,Active,January-23-2020 06:00 PM,January-23-2020 07:00 PM,http://www.redfin.com/CA/San-Francisco/1043-Hollister-Ave-94124/home/1971357,San Francisco MLS,493513,N,Y,37.7189773,-122.3915284
MLS Listing,,Condo/Co-op,1483 Sutter St #1506,San Francisco,CA,94109,1200000,2,2.0,Van Ness/Civic Center,1130,,1993,6,1062,869,Active,January-25-2020 11:00 AM,January-25-2020 01:00 PM,http://www.redfin.com/CA/San-Francisco/1483-Sutter-St-94109/unit-1506/home/572067,San Francisco MLS,493672,N,Y,37.7867158,-122.4242025
MLS Listing,,Condo/Co-op,251 Collingwood St,San Francisco,CA,94114,1495000,1,1.0,Eureka Valley/Dolore,1410,,1906,6,1060,,Active,,,http://www.redfin.com/CA/San-Francisco/251-Collingwood-St-94114/home/1351579,San Francisco MLS,493643,N,Y,37.7583671,-122.4355862
MLS Listing,,Single Family Residential,131 Robinhood Dr,San Francisco,CA,94127,1349000,3,2.5,Sherwood Forest,1535,3336,1954,6,879,,Active,January-25-2020 01:00 PM,January-25-2020 05:00 PM,http://www.redfin.com/CA/San-Francisco/131-Robinhood-Dr-94127/home/1014354,San Francisco MLS,493767,N,Y,37.7368545,-122.4559903
